name,edhrec_rank,penny_rank,num_printings,rarity
Abrade,153,232,22,uncommon
"Abrupt Decay",685,119,8,rare
"Academy Manufactor",261,2452,10,rare
"Adarkar Wastes",166,192,23,rare
"Aether Vial",5782,,13,rare
Aetherize,316,2893,14,uncommon
"Air Elemental",24043,14045,35,uncommon
"An Offer You Can't Refuse",37,2203,8,uncommon
"Ancestral Recall",,,11,bonus
"Ancient Tomb",64,,16,rare
Anger,370,,15,uncommon
"Anguished Unmaking",156,2995,17,rare
"Animate Dead",226,184,17,uncommon
"Arcane Denial",56,,20,common
"Arcane Sanctum",332,479,19,uncommon
"Arcane Signet",3,,78,uncommon
"Archmage Emeritus",271,11759,9,rare
"Arid Mesa",55,,11,rare
Armageddon,4014,,26,mythic
"Ash Barrens",189,,29,common
"Ashnod's Altar",129,,12,uncommon
"Assassin's Trophy",125,568,16,rare
"Austere Command",163,4790,22,rare
"Authority of the Consuls",394,2703,8,rare
"Avenger of Zendikar",264,6576,15,mythic
"Azorius Chancery",419,2420,23,uncommon
"Azorius Signet",185,1439,20,uncommon
"Azusa, Lost but Seeking",296,2253,15,rare
"Back to Basics",4853,,4,rare
Badlands,383,,10,rare
Balance,,,22,mythic
"Baleful Strix",353,,17,rare
"Basilisk Collar",258,2872,17,rare
"Bastion of Remembrance",339,2271,11,uncommon
Batterskull,4745,1223,5,mythic
"Battlefield Forge",123,179,21,rare
Bayou,437,,11,rare
"Beast Whisperer",195,1989,13,rare
"Beast Within",25,,34,uncommon
Bedevil,454,2109,10,rare
Berserk,3911,206,11,mythic
"Bident of Thassa",401,5054,9,rare
"Big Score",171,2029,10,common
"Birds of Paradise",33,71,47,rare
Bitterblossom,634,163,13,mythic
"Black Lotus",,,13,bonus
"Black Market Connections",133,891,7,rare
"Black Vise",10749,,15,rare
"Blackblade Reforged",320,4808,12,rare
"Blasphemous Act",23,3006,39,rare
"Blind Obedience",463,5871,9,rare
"Blood Artist",149,1136,15,uncommon
"Blood Crypt",72,,16,rare
"Blood Moon",1293,,18,rare
"Bloodbraid Elf",4400,204,14,uncommon
"Bloodstained Mire",43,,12,rare
"Bloom Tender",289,3966,12,mythic
"Bojuka Bog",27,,34,common
"Bolas's Citadel",260,1401,8,rare
"Bonecrusher Giant // Stomp",5329,90,7,rare
"Boros Charm",173,,14,uncommon
"Boros Garrison",435,3312,23,common
"Boros Signet",228,2465,18,uncommon
"Boseiju, Who Endures",78,,5,rare
"Braids, Arisen Nightmare",291,782,8,rare
Brainstorm,68,9,41,common
"Breeding Pool",63,25,18,rare
Brushland,250,113,25,rare
"Buried Alive",381,824,11,uncommon
"Buried Ruin",194,759,13,uncommon
"Burnished Hart",416,9943,21,uncommon
"Cabal Coffers",183,,9,mythic
"Canopy Vista",101,628,30,rare
"Cascade Bluffs",329,96,11,rare
"Cavern of Souls",112,,22,mythic
"Caves of Koilos",124,55,19,rare
"Chain Lightning",6406,21,12,common
"Chalice of the Void",8796,,7,mythic
"Chandra's Ignition",497,12932,9,rare
"Chandra, Torch of Defiance",1414,,7,mythic
Channel,,73,13,mythic
"Chaos Orb",,,8,rare
"Chaos Warp",29,,47,rare
"Choked Estuary",280,247,19,rare
"Chord of Calling",542,62,9,rare
"Chromatic Lantern",79,3816,32,rare
"Chrome Mox",142,,11,mythic
"Cinder Glade",84,967,35,rare
"City of Brass",106,,34,rare
"Clifftop Retreat",87,289,18,rare
"Collected Company",12236,,5,rare
"Colossal Dreadmaw",10277,10948,12,common
"Command Beacon",180,,12,rare
"Command Tower",2,,100,common
"Commander's Sphere",39,,43,common
Consider,386,40,12,common
"Contract from Below",,,7,rare
Counterspell,17,8,67,uncommon
"Cranial Plating",2217,216,11,uncommon
"Craterhoof Behemoth",346,,14,mythic
"Creeping Tar Pit",2705,554,14,rare
"Crop Rotation",213,,11,uncommon
"Crucible of Worlds",569,1551,13,mythic
"Crumbling Necropolis",342,666,18,uncommon
Crusade,,,12,rare
Cultivate,20,1405,48,common
"Cursed Mirror",449,4968,11,rare
"Cyclonic Rift",48,504,12,mythic
"Dack Fayden",6578,,6,mythic
Damn,325,42,9,rare
Damnation,351,66,13,rare
"Dark Confidant",1286,76,14,mythic
"Dark Depths",1352,,12,mythic
"Dark Ritual",34,32,47,common
Darkpact,,,7,rare
"Darksteel Citadel",287,352,17,uncommon
"Darkwater Catacombs",299,,27,rare
"Dauthi Voidwalker",362,,9,rare
Daze,3599,,9,uncommon
"Deadly Dispute",132,1101,15,common
"Deadly Rollick",115,,6,rare
"Deathrite Shaman",582,494,8,rare
"Deflecting Swat",81,,6,rare
"Delighted Halfling",158,,7,rare
"Delver of Secrets // Insectile Aberration",15558,176,8,common
"Demonic Attorney",,,7,rare
"Demonic Tutor",58,,22,mythic
"Deserted Beach",273,,10,rare
Despark,388,4694,10,uncommon
"Diabolic Intent",265,,9,rare
"Diabolic Tutor",443,2395,19,uncommon
"Dimir Aqueduct",317,987,25,uncommon
"Dimir Signet",134,1274,19,common
Dismember,969,,10,uncommon
Dispatch,487,1207,9,uncommon
"Doubling Season",209,3946,17,mythic
"Dragon's Rage Channeler",1809,,7,uncommon
"Dragonskull Summit",88,146,26,rare
"Dream Halls",12016,,1,mythic
"Dreamroot Cascade",186,,12,rare
"Drowned Catacomb",111,94,21,rare
"Dryad of the Ilysian Grove",282,2511,8,rare
"Elspeth, Sun's Champion",733,332,8,mythic
"Elvish Mystic",110,315,13,common
"Emrakul, the Aeons Torn",,,12,mythic
"Emrakul, the Promised End",1814,,6,mythic
"Enlightened Tutor",116,,12,rare
"Ensnaring Bridge",4886,,12,mythic
Entomb,315,,11,rare
"Erebos, God of the Dead",2794,7499,2,mythic
"Esper Sentinel",73,,5,rare
"Etali, Primal Storm",257,4710,22,rare
"Eternal Witness",99,412,25,uncommon
"Etherium Sculptor",429,2214,9,common
"Everflowing Chalice",248,1189,24,uncommon
"Evolution Sage",405,3968,8,uncommon
"Evolving Wilds",16,85,73,common
Exhume,3954,,5,uncommon
"Exotic Orchard",9,7358,50,rare
"Expedition Map",438,287,10,common
Explore,229,350,27,common
Exsanguinate,318,7203,8,uncommon
"Fabled Passage",60,33,21,rare
Fabricate,479,2312,10,uncommon
"Fact or Fiction",631,101,32,uncommon
"Faithless Looting",95,50,25,common
"Falling Star",,,1,rare
Farewell,146,,15,rare
Farseek,22,1205,30,common
Fastbond,,,9,mythic
"Fatal Push",3036,,15,uncommon
"Feed the Swarm",89,306,21,common
"Felidar Retreat",464,2984,12,rare
"Fellwar Stone",18,,37,uncommon
"Fetid Heath",387,109,9,rare
"Fierce Guardianship",77,,6,rare
"Flawless Maneuver",181,,7,rare
"Flooded Grove",323,310,12,rare
"Flooded Strand",42,,13,rare
"Force of Nature",26483,10986,16,rare
"Force of Negation",262,,6,rare
"Force of Will",188,,13,mythic
"Foreboding Ruins",314,369,17,rare
"Forgotten Ancient",404,,20,rare
"Fortified Village",337,444,20,rare
"Foundry Inspector",254,2237,9,common
"Frantic Search",113,114,15,common
"Frontier Bivouac",379,540,17,uncommon
"Frostboil Snarl",355,1237,15,rare
"Furycalm Snarl",363,1185,16,rare
"Fyndhorn Elves",212,361,9,common
"Gaea's Cradle",465,,5,rare
Gamble,231,,11,rare
"Game Trail",359,602,19,rare
"Garruk Wildspeaker",5443,284,9,mythic
"Garruk's Uprising",92,3221,11,uncommon
"Geier Reach Sanitarium",417,1642,8,rare
"Gemstone Caverns",178,,10,mythic
"Generous Gift",54,2471,18,uncommon
"Ghalta, Primal Hunger",480,2141,17,rare
"Ghostly Prison",168,,19,uncommon
"Gideon, Ally of Zendikar",8690,645,5,mythic
"Gifts Ungiven",1905,864,8,rare
"Gilded Lotus",413,2748,18,rare
"Glacial Fortress",103,77,22,rare
"Go for the Throat",348,351,16,uncommon
"Goblin Bombardment",455,755,12,rare
"Goblin Guide",14297,,8,rare
"Godless Shrine",61,19,18,rare
"Goldspan Dragon",412,,8,mythic
"Golgari Rot Farm",305,2050,24,uncommon
"Grafdigger's Cage",1907,,7,rare
"Grand Abolisher",249,1594,12,mythic
"Gray Merchant of Asphodel",242,832,10,uncommon
"Great Furnace",411,,14,common
"Green Sun's Zenith",557,,6,rare
Griselbrand,,,10,mythic
"Growth Spiral",217,175,13,common
"Gruul Turf",397,1583,22,uncommon
"Guardian Project",293,10155,13,mythic
Guttersnipe,403,4629,22,uncommon
"Hallowed Fountain",66,,15,rare
"Hardened Scales",202,441,18,rare
Harmonize,301,1224,38,uncommon
Harrow,235,2870,20,common
"Haunted Ridge",270,,10,rare
"Heliod, Sun-Crowned",988,,9,mythic
"Helm of the Host",390,3650,8,rare
"Herald's Horn",140,,13,uncommon
"Heroic Intervention",32,1529,26,rare
"Hinterland Harbor",108,253,19,rare
"Hogaak, Arisen Necropolis",9936,364,2,rare
"Hullbreaker Horror",268,573,14,rare
"Hymn to Tourach",9380,12,18,uncommon
"Hypnotic Specter",8324,923,20,rare
"Idol of Oblivion",199,,13,rare
"Impact Tremors",182,3709,7,common
Incinerate,13648,221,21,common
"Infernal Grasp",274,502,12,uncommon
"Inquisition of Kozilek",8757,,9,uncommon
"Inspiring Call",278,7644,18,uncommon
"Inventors' Fair",283,776,8,rare
